Lemma	Abs. freq. in full text	Rel. Freq. in full text
algo	142	0,0004336381015201764
fortaleza	141	0,0004305843120728512
ciencia	140	0,000427530522625526
demandar	140	0,000427530522625526
engaño	140	0,000427530522625526
caballería	140	0,000427530522625526
perder	139	0,00042447673317820084
er	138	0,00042142294373087564
pho	138	0,00042142294373087564
poco	136	0,0004153153648362253
ayuntar	136	0,0004153153648362253
declarar	136	0,0004153153648362253
temer	135	0,0004122615753889001
sí	133	0,0004061539964942497
compan	133	0,0004061539964942497
responder	133	0,0004061539964942497
nuestro	133	0,0004061539964942497
tuerto	133	0,0004061539964942497
alabar	133	0,0004061539964942497
paresc	132	0,0004031002070469245
entrar	132	0,0004031002070469245
día	131	0,00040004641759959936
temor	131	0,00040004641759959936
ante	130	0,00039699262815227416
tirano	130	0,00039699262815227416
dinero	129	0,00039393883870494895
aprender	128	0,0003908850492576238
luego	128	0,0003908850492576238
edad	128	0,0003908850492576238
séneca	128	0,0003908850492576238
ojo	128	0,0003908850492576238
fallar	128	0,0003908850492576238
echar	128	0,0003908850492576238
mandamiento	127	0,0003878312598102986
mover	126	0,0003847774703629734
oír	126	0,0003847774703629734
orar	125	0,00038172368091564824
posesión	125	0,00038172368091564824
naturalmente	124	0,00037866989146832303
casar	124	0,00037866989146832303
entendimiento	123	0,0003756161020209979
dellas_de+dellas_el	123	0,0003756161020209979
pasar	121	0,00036950852312634747
viejo	120	0,0003664547336790223
valerio	120	0,0003664547336790223
juicio	120	0,0003664547336790223
propio	118	0,0003603471547843719
grado	117	0,00035729336533704676
paz	117	0,00035729336533704676
comer	117	0,00035729336533704676
suso	117	0,00035729336533704676
andanc	116	0,00035423957588972155
pobre	116	0,00035423957588972155
emperador	116	0,00035423957588972155
fecho	116	0,00035423957588972155
hecho	115	0,00035118578644239635
convenible	115	0,00035118578644239635
fe	114	0,0003481319969950712
peligro	114	0,0003481319969950712
8	112	0,00034202441810042084
filosofar	112	0,00034202441810042084
caer	111	0,00033897062865309563
tirar	111	0,00033897062865309563
