                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 2.5572,                 2.9063,                 2.5271,                 0.5768,                0.24435,                0.28064,                  0.122,                 2.3358,                 2.1653,                  2.411,              0.0010234,              0.0010234,              0.0010234
                     89,                 2.4906,                 2.6836,                  2.402,                 0.5859,                0.21961,                0.30399,                0.13912,                 2.3732,                 2.0238,                 2.4558,              0.0010187,              0.0010187,              0.0010187
                     90,                 2.3677,                 2.4686,                 2.4471,                0.56552,                0.24314,                0.33384,                0.13525,                 2.3766,                 1.8491,                 2.4509,               0.001014,               0.001014,               0.001014
                     91,                 2.3823,                 2.5229,                 2.4692,                 0.8836,                0.16811,                0.25508,                0.09173,                 2.5679,                  3.213,                 2.5868,              0.0010093,              0.0010093,              0.0010093
                     92,                 2.5266,                 2.5518,                 2.4966,                  0.915,                0.26667,                 0.3142,                0.13229,                  2.304,                 1.8083,                 2.3997,              0.0010046,              0.0010046,              0.0010046
                     93,                 2.2117,                 2.7256,                 2.2641,                0.90811,                0.24731,                0.31097,                0.14061,                 2.2197,                 2.0581,                 2.3587,             0.00099987,             0.00099987,             0.00099987
                     94,                 2.4071,                 2.4668,                 2.3994,                0.87098,                0.24841,                0.30677,                0.12938,                 2.2309,                 1.9075,                 2.3445,             0.00099516,             0.00099516,             0.00099516
                     95,                 2.3518,                 2.3337,                 2.4483,                0.89511,                0.25098,                0.32833,                0.14514,                 2.1984,                  1.858,                 2.3209,             0.00099044,             0.00099044,             0.00099044
                     96,                 2.3324,                 2.4691,                 2.4724,                0.85376,                0.22075,                0.24927,                0.07393,                 2.6481,                 2.8824,                 2.6282,             0.00098572,             0.00098572,             0.00098572
                     97,                 2.2699,                 2.2559,                 2.3466,                0.86992,                0.27573,                0.31973,                0.14594,                 2.3387,                 2.0459,                 2.3625,             0.00098101,             0.00098101,             0.00098101
                     98,                 2.3061,                 2.3067,                 2.3445,                0.90055,                0.26747,                0.34455,                0.13284,                 2.3767,                 2.1276,                 2.4033,             0.00097629,             0.00097629,             0.00097629
                     99,                 2.4484,                 2.5352,                 2.5023,                0.90636,                0.20392,                0.28996,                0.12902,                 2.2679,                 1.9243,                  2.375,             0.00097158,             0.00097158,             0.00097158
                    100,                 2.3439,                 2.3239,                 2.3012,                0.87369,                0.23781,                0.30112,                0.10162,                 2.3986,                 2.1704,                 2.4577,             0.00096686,             0.00096686,             0.00096686
                    101,                 2.2862,                 2.2465,                 2.3294,                0.88928,                0.25882,                0.32494,                0.13078,                 2.2043,                 1.9832,                 2.3299,             0.00096215,             0.00096215,             0.00096215
                    102,                 2.1642,                 2.2727,                 2.2974,                0.53345,                0.35626,                0.24186,                0.08491,                 2.3024,                 1.9215,                 2.3679,             0.00095743,             0.00095743,             0.00095743
                    103,                 2.2994,                 2.3838,                 2.3679,                 0.0289,                0.29696,                 0.0516,                0.01084,                 3.1968,                 12.304,                 3.0875,             0.00095271,             0.00095271,             0.00095271
                    104,                 2.2839,                 2.3307,                 2.3817,                0.47754,                0.34561,                0.23849,                0.07952,                 2.3689,                 2.1181,                 2.4029,               0.000948,               0.000948,               0.000948
                    105,                 2.3103,                 2.6178,                 2.4505,                0.86285,                0.25243,                0.30672,                0.14398,                 2.1878,                 2.1354,                 2.3082,             0.00094328,             0.00094328,             0.00094328
                    106,                 2.4135,                 2.3905,                 2.3984,                0.85435,                0.25098,                0.30515,                0.13295,                 2.2445,                 1.9802,                 2.3203,             0.00093857,             0.00093857,             0.00093857
                    107,                 2.1541,                 2.3545,                 2.2396,                0.83957,                0.24706,                0.28736,                0.12027,                 2.2669,                 1.9236,                 2.3443,             0.00093385,             0.00093385,             0.00093385
                    108,                 2.3246,                 2.3567,                  2.345,                 0.8335,                0.21176,                0.23184,                 0.1017,                  2.264,                 4.8904,                 2.3555,             0.00092914,             0.00092914,             0.00092914
                    109,                 2.3404,                 2.4634,                 2.4635,                0.66027,                0.32136,                0.29627,                0.13538,                 2.1474,                  1.775,                 2.2793,             0.00092442,             0.00092442,             0.00092442
                    110,                 2.2995,                 2.3252,                 2.2645,                0.86279,                0.21302,                0.31682,                 0.1472,                 2.0939,                 1.9905,                 2.2354,              0.0009197,              0.0009197,              0.0009197
                    111,                 2.4335,                 2.2993,                 2.5151,                0.90778,                0.24706,                0.32642,                0.14698,                 2.2324,                   1.98,                 2.3193,             0.00091499,             0.00091499,             0.00091499
                    112,                 2.3662,                 2.2233,                 2.3969,                0.89821,                0.27843,                0.34248,                0.16643,                 2.1096,                 1.8802,                 2.2428,             0.00091027,             0.00091027,             0.00091027
                    113,                 2.4141,                 2.3669,                  2.412,                 0.9152,                 0.2902,                0.36966,                0.15321,                 2.1676,                 1.8433,                 2.2565,             0.00090556,             0.00090556,             0.00090556
                    114,                 2.1024,                 2.1599,                  2.169,                0.93858,                0.26667,                0.37555,                0.17977,                 2.1538,                 1.7789,                 2.2532,             0.00090084,             0.00090084,             0.00090084
                    115,                 2.2395,                 2.0793,                 2.3176,                0.93638,                0.24939,                0.39126,                0.18682,                 2.1197,                 1.9536,                 2.2257,             0.00089613,             0.00089613,             0.00089613
                    116,                 1.9985,                 2.0877,                 2.1243,                0.91277,                0.25882,                0.36243,                0.16968,                  2.077,                  1.717,                 2.1789,             0.00089141,             0.00089141,             0.00089141
                    117,                 2.1077,                 2.0165,                 2.1789,                0.94308,                0.26662,                0.37422,                0.18264,                 2.0412,                 1.7923,                 2.1516,             0.00088669,             0.00088669,             0.00088669
                    118,                 2.1501,                 2.1341,                 2.3104,                0.68354,                0.35854,                0.40326,                0.17607,                 2.0924,                 1.6653,                 2.2074,             0.00088198,             0.00088198,             0.00088198
                    119,                 2.1837,                 2.0792,                 2.3072,                0.97013,                0.27887,                0.41363,                0.18807,                 2.0639,                 1.6636,                   2.19,             0.00087726,             0.00087726,             0.00087726
                    120,                 2.2235,                 2.1808,                 2.3626,                 0.9635,                0.28701,                 0.4099,                0.18875,                 2.0433,                 1.6107,                 2.1641,             0.00087255,             0.00087255,             0.00087255
                    121,                 1.8805,                  1.985,                 2.0025,                0.96743,                0.28971,                0.49787,                0.23073,                 2.0469,                 1.6766,                 2.1702,             0.00086783,             0.00086783,             0.00086783
                    122,                   2.17,                 2.0511,                 2.2439,                0.96744,                 0.2902,                0.46506,                0.21293,                 2.0123,                 1.8739,                 2.1407,             0.00086312,             0.00086312,             0.00086312
                    123,                 1.9197,                 1.9727,                 1.9933,                0.72646,                0.38437,                0.41732,                0.18402,                 2.1001,                 1.6567,                 2.1474,              0.0008584,              0.0008584,              0.0008584
                    124,                 2.0287,                 2.0842,                 1.9896,                0.97306,                0.28235,                0.40121,                0.19307,                 2.0803,                  1.638,                 2.1431,             0.00085368,             0.00085368,             0.00085368
                    125,                 2.0723,                 2.1423,                 2.2798,                0.97062,                0.28627,                 0.3983,                0.19145,                 2.0238,                 1.6656,                 2.1161,             0.00084897,             0.00084897,             0.00084897
                    126,                 1.9774,                 1.9803,                 2.0587,                0.96326,                0.30196,                0.40687,                0.18986,                 2.0321,                 1.7186,                 2.1316,             0.00084425,             0.00084425,             0.00084425
                    127,                 2.1917,                 2.1439,                 2.2229,                 0.9635,                0.29412,                0.42772,                0.18812,                 2.0508,                 1.9074,                 2.1072,             0.00083954,             0.00083954,             0.00083954
                    128,                 1.9853,                 1.9828,                 1.9916,                0.69204,                0.36033,                0.45435,                0.19215,                 2.1182,                 1.5684,                 2.1362,             0.00083482,             0.00083482,             0.00083482
                    129,                 1.9395,                 2.0233,                 2.0366,                0.95187,                0.25564,                0.34008,                0.12404,                 2.5116,                  2.507,                 2.4585,             0.00083011,             0.00083011,             0.00083011
                    130,                 2.0782,                 1.8021,                 2.1441,                0.98217,                0.27766,                0.38461,                0.17122,                 2.1547,                 1.8477,                 2.2111,             0.00082539,             0.00082539,             0.00082539
                    131,                 2.2587,                   2.16,                 2.2651,                0.95995,                0.28235,                0.44964,                0.20318,                 2.0839,                 1.7821,                 2.1066,             0.00082067,             0.00082067,             0.00082067
                    132,                 2.1637,                 2.0172,                 2.1009,                0.97425,                0.28112,                0.49261,                0.23232,                 1.9928,                 1.6235,                 2.0605,             0.00081596,             0.00081596,             0.00081596
                    133,                 2.1707,                 1.9932,                 2.2964,                0.96449,                0.27843,                0.48838,                 0.2302,                 1.9671,                 1.7215,                 2.0505,             0.00081124,             0.00081124,             0.00081124
                    134,                 2.0112,                  1.931,                 2.1282,                0.63085,                0.38437,                0.44153,                0.19183,                 2.1284,                 1.6433,                 2.1594,             0.00080653,             0.00080653,             0.00080653
                    135,                 2.1231,                 2.1453,                 2.2335,                 0.6638,                0.33751,                0.40486,                0.18968,                 2.0456,                 1.7872,                 2.1478,             0.00080181,             0.00080181,             0.00080181
                    136,                 2.3645,                 2.1543,                 2.3301,                0.51463,                 0.4146,                0.32183,                0.14872,                 2.0684,                 1.7559,                  2.185,              0.0007971,              0.0007971,              0.0007971
                    137,                 2.0549,                 1.9436,                 2.1642,                0.96755,                0.28235,                0.45158,                0.18067,                 2.0195,                  1.565,                 2.0698,             0.00079238,             0.00079238,             0.00079238
                    138,                 2.2215,                 1.9126,                 2.1144,                0.95815,                0.27316,                0.47643,                 0.2165,                 1.9841,                  1.598,                  2.047,             0.00078766,             0.00078766,             0.00078766
                    139,                  2.279,                 1.9797,                 2.1891,                0.92002,                0.26275,                0.46445,                0.21005,                 1.9795,                 1.8945,                 2.0547,             0.00078295,             0.00078295,             0.00078295
                    140,                 1.8854,                 1.7854,                 2.0062,                0.56613,                0.47993,                0.46919,                0.21181,                 1.9984,                 1.5245,                 2.0204,             0.00077823,             0.00077823,             0.00077823
                    141,                 2.1605,                  1.939,                 2.1072,                0.25632,                 0.4049,                0.39254,                0.18588,                  2.133,                  1.722,                 2.1125,             0.00077352,             0.00077352,             0.00077352
                    142,                 2.1142,                 1.9077,                 2.1525,                0.57763,                0.48147,                0.47449,                0.23515,                 1.9967,                 1.5978,                 2.0221,              0.0007688,              0.0007688,              0.0007688
                    143,                 2.1027,                 1.8519,                 2.0622,                 0.6141,                0.43168,                0.50981,                0.24014,                 1.9585,                 1.5457,                 2.0107,             0.00076409,             0.00076409,             0.00076409
                    144,                 2.0107,                 1.9723,                 2.0529,                0.62694,                0.40609,                0.47744,                0.22373,                 1.9674,                 1.5354,                 2.0158,             0.00075937,             0.00075937,             0.00075937
                    145,                 2.0902,                 1.8551,                 2.1824,                0.74978,                0.41408,                0.47693,                0.22906,                 1.9543,                 1.5184,                 2.0175,             0.00075465,             0.00075465,             0.00075465
                    146,                 1.9741,                 1.8471,                  2.031,                0.69345,                0.40602,                 0.4316,                0.21504,                 1.9174,                 1.5093,                 1.9982,             0.00074994,             0.00074994,             0.00074994
                    147,                 1.9297,                 1.8949,                 1.9967,                0.63467,                0.43659,                 0.4091,                0.20185,                 1.9862,                 1.5608,                 2.0391,             0.00074522,             0.00074522,             0.00074522
                    148,                 2.0907,                 1.9345,                 2.1526,                0.65345,                0.46285,                0.49962,                0.24599,                 1.9315,                 1.5102,                 1.9907,             0.00074051,             0.00074051,             0.00074051
                    149,                 2.1384,                 1.8899,                 2.2453,                0.61349,                0.42291,                0.46919,                0.22566,                 1.9592,                 1.6566,                 2.0336,             0.00073579,             0.00073579,             0.00073579
                    150,                 2.0979,                 1.8307,                 2.1165,                0.57952,                0.39174,                0.43836,                0.21103,                 1.9501,                 1.7584,                 2.0506,             0.00073108,             0.00073108,             0.00073108
